23.0,10.0,6.0,5.0,4.0
21.0,18.0,17.0,13.0,5.0
16.0,16.0,6.0,5.0,5.0
25.0,21.0,10.0,9.0,7.0
22.0,16.0,11.0,10.0,7.0
55.0,13.0,13.0,12.0,12.0
25.0,11.0,7.0,7.0,7.0
39.0,17.0,16.0,14.0,11.0
21.0,18.0,10.0,10.0,8.0
26.0,22.0,12.0,12.0,12.0
19.0,14.0,9.0,7.0,7.0
31.0,9.0,7.0,7.0,6.0
40.0,28.0,15.0,14.0,9.0
15.0,12.0,7.0,6.0,5.0
28.0,7.0,7.0,6.0,6.0
12.0,11.0,9.0,5.0,5.0
22.0,8.0,7.0,7.0,6.0
19.0,14.0,14.0,13.0,13.0
19.0,14.0,9.0,8.0,6.0
43.0,15.0,7.0,6.0,6.0
25.0,9.0,8.0,7.0,6.0
32.0,13.0,9.0,7.0,6.0
23.0,14.0,7.0,5.0,4.0
23.0,6.0,6.0,5.0,4.0
17.0,10.0,8.0,8.0,7.0
25.0,17.0,9.0,6.0,6.0
22.0,14.0,10.0,8.0,7.0
36.0,7.0,7.0,7.0,6.0
21.0,14.0,8.0,8.0,7.0
26.0,17.0,10.0,8.0,7.0
39.0,20.0,8.0,5.0,5.0
36.0,17.0,8.0,5.0,5.0
35.0,15.0,7.0,4.0,3.0
26.0,6.0,5.0,4.0,3.0
52.0,8.0,7.0,6.0,4.0
33.0,5.0,5.0,3.0,3.0
31.0,12.0,8.0,4.0,3.0
40.0,9.0,7.0,6.0,4.0
44.0,8.0,6.0,5.0,4.0
34.0,12.0,9.0,7.0,3.0
34.0,6.0,5.0,3.0,3.0
66.0,14.0,5.0,4.0,4.0
80.0,11.0,6.0,3.0,3.0
58.0,10.0,7.0,5.0,3.0
45.0,13.0,5.0,3.0,3.0
34.0,8.0,4.0,4.0,2.0
33.0,5.0,5.0,3.0,3.0
46.0,8.0,6.0,3.0,3.0
35.0,8.0,8.0,6.0,6.0
34.0,7.0,6.0,6.0,5.0
22.0,8.0,7.0,6.0,6.0
34.0,8.0,6.0,4.0,3.0
